no,brand,model,processor_brand,processor_class,processor_model,ram_type,ram_size,storage_type,storage_size,external_gpu_brand,external_gpu_model,screen_size,screen_quality,panel,refresh_rate,camera,backlight,usb_4_0,ms_office,touchscreen,type,price
1,MSI,Raider GE78HX 13VI,Intel,i9,13950HX,DDR5,64,SSD 4,4096,NVIDIA,RTX4090,17,QHD+,IPS,240,1080,Yes,Yes,No,No,Performance,82999000
2,ASUS,ROG Zephyrus Duo 16 GX650PZ,Ryzen,r9,7945HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4080,16,QHD+,Mini-LED,240,1080,Yes,No,Yes,No,Performance,75999000
3,ACER,Predator Triton 500SE PT516-52s,Intel,i9,12900H,DDR5,32,SSD 4,2048,NVIDIA,RTX3080Ti,16,QHD+,IPS,240,,Yes,Yes,Yes,No,Performance,73949000
4,MSI,Raider GE78HX 13VH,Intel,i9,13950HX,DDR5,64,SSD 4,2048,NVIDIA,RTX4080,17,QHD+,IPS,240,1080,Yes,Yes,No,No,Performance,71999000
5,ASUS,ROG Strix SCAR 18 G834JY,Intel,i9,13980HX,DDR5,64,SSD 4,2048,NVIDIA,RTX4090,18,QHD+,Mini-LED,240,720,Yes,Yes,Yes,No,Performance,73199000
6,ASUS,ROG Strix SCAR 18 G834JY,Intel,i9,13980HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4090,18,QHD+,Mini-LED,240,720,Yes,Yes,Yes,No,Performance,69699000
7,ASUS,ROG Strix SCAR 16 G634JY,Intel,i9,13980HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4090,16,QHD+,Mini-LED,240,720,Yes,Yes,Yes,No,Performance,68739000
8,RAZER,Blade 16,Intel,i9,13950HX,DDR5,16,SSD 4,1024,NVIDIA,RTX4080,16,QHD+,,240,1080,Yes,Yes,No,No,Performance,67990000
9,ASUS,ROG Strix SCAR 16 G634JZ ,Intel,i9,13980HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4080,16,QHD+,Mini-LED,240,720,Yes,Yes,Yes,No,Performance,65999000
10,ASUS,ROG Strix SCAR 17 G733PY,Ryzen,r9,7945HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4090,17.3,WQHD,IPS,240,720,Yes,No,Yes,No,Performance,63059000
11,ASUS,ROG Strix SCAR 18 G834JZ,Intel,i9,13980HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4080,18,QHD,IPS,240,720,Yes,Yes,Yes,No,Performance,61180000
12,ASUS,ROG Zephyrus Duo 16 GX650PI,Ryzen,r9,7945HX,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,16,QHD,Mini-LED,240,1080,Yes,No,Yes,No,Performance,60999000
13,ASUS,Zenbook Pro 16X OLED UX7602BZ,Intel,i9,13905H,DDR5X,32,SSD 4,1024,NVIDIA,RTX4080,16,3.2K,OLED,120,1080,Yes,Yes,Yes,No,Balance,59999000
14,ACER,Predator HELIOS 16 PH18-71,Intel,i9,13900HX,DDR5,32,SSD 4,1024,NVIDIA,RTX4080,18,QHD+,IPS,240,1080,Yes,Yes,Yes,No,Performance,59699000
15,ACER,ROG Strix SCAR 17 G733PZ,Ryzen,r9,7945HX,DDR5,32,SSD 4,2048,NVIDIA,RTX4080,17.3,WQHD,IPS,240,720,Yes,No,Yes,No,Performance,59339000
16,RAZER,Blade 16,Intel,i9,13950HX,DDR5,16,SSD 4,1024,NVIDIA,RTX4070,16,QHD+,,240,1080,Yes,Yes,No,No,Performance,56990000
17,ACER,Predator HELIOS 16 PH16-71,Intel,i9,13900HX,DDR5,32,SSD 4,1024,NVIDIA,RTX4080,16,QHD+,IPS,240,1080,Yes,Yes,Yes,No,Performance,56699000
18,RAZER,Blade 15 Advanced,Intel,i7,12800H,DDR5,32,SSD 4,1024,NVIDIA,RTX3080Ti,15.6,QHD,,240,1080,Yes,Yes,No,No,Performance,54990000
19,RAZER,Blade 15,Intel,i7,13800H,DDR5,16,SSD 4,1024,NVIDIA,RTX4070,15.6,QHD,,240,1080,Yes,Yes,No,No,Performance,52990000
20,RAZER,Blade 14,Ryzen,r9,6900HX,DDR5,16,SSD 4,1024,NVIDIA,RTX3080Ti,14,QHD,,165,,Yes,Yes,Yes,No,Performance,51390000
21,ASUS,Zenbook 17 Fold OLED UX9702AA,Intel,i7,1250U,LDDR5,16,SSD 4,1024,,,17.3,,FOLED,60,1440,No,Yes,Yes,Yes,Fold,50999000
22,ASUS,ROG Strix G16 G614JZ,Intel,i9,13980HX,DDR5,16,SSD 4,1024,NVIDIA,RTX4080,16,QHD+,IPS,240,720,Yes,Yes,Yes,No,Performance,47759000
23,ASUS,ROG Zephyrus Duo 16 GX650RX,Ryzen,r9,5900HX,DDR5,32,SSD 4,2048,NVIDIA,RTX3080Ti,16,QHD+,,165,720,Yes,Yes,Yes,No,Performance,46999000
24,ASUS,ROG STRIX SCAR 15 G533ZW,Intel,i9,12900H,DDR5,32,SSD 4,1024,NVIDIA,RTX3070Ti,15.6,WQHD,IPS,240,1080,Yes,Yes,Yes,No,Performance,44499000
25,ASUS,ROG Flow Z13 ACRONYM GZ301VIC,Intel,i9,13900H,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,13.4,QHD+,IPS,165,1440,,Yes,Yes,Yes,Performance,44399000
26,DELL,ALIENWARE M15 R6,Intel,i7,11800H,DDR4,16,,512,NVIDIA,RTX3060,15.6,FHD,IPS,165,720,Yes,Yes,Yes,No,Performance,42999000
27,RAZER,Blade 15 Advanced,Intel,i7,12800H,DDR5,16,SSD 4,1024,NVIDIA,RTX3070Ti,15.6,QHD,,240,1080,Yes,Yes,Yes,No,Performance,42990000
28,MSI,Stealth 16 MercedesAMG A13VG,Intel,i9,13900H,DDR5,32,SSD 4,2048,NVIDIA,RTX4070,16,UHD+,OLED,60,1080,Yes,Yes,Yes,No,Balance,41499000
29,ASUS,ROG Zephyrus M16 GU604VI,Intel,i9,13900H,DDR5,16,SSD 4,1024,NVIDIA,RTX4070,16,QHD+,IPS,240,1080,Yes,Yes,Yes,No,Performance,41379000
30,ASUS,ROG Zephyrus M16 GU604VI,Intel,i9,13900H,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,16,QHD+,IPS,240,1080,Yes,Yes,Yes,No,Performance,42879000
31,ASUS,Vivobook Pro 16X OLED N7601ZM,Intel,i9,12900H,DDR5,32,SSD 4,1024,NVIDIA,RTX3060,16,4K,OLED,60,1080,Yes,Yes,Yes,No,Balance,39999000
32,ASUS,ROG Zephyrus Duo 16 GX650RM,Ryzen,r7,6800H,DDR5,16,SSD 4,1024,NVIDIA,RTX3060,16,FHD,IPS,165,720,Yes,No,Yes,No,Performance,39999000
33,ASUS,ROG Zephyrus Duo 16 GX650RM,Ryzen,r7,6800H,DDR5,16,SSD 4,1024,NVIDIA,RTX3060,16,FHD,IPS,165,720,Yes,No,Yes,No,Performance,42999000
34,RAZER,Blade 14,Ryzen,r9,6900HX,DDR5,16,SSD 4,1024,NVIDIA,RTX3070Ti,14,QHD,,,,Yes,Yes,No,No,Performance,38690000
35,ASUS,ROG Strix G16 G614JI,Intel,i9,13980HX,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,16,QHD,IPS,240,720,Yes,Yes,Yes,No,Performance,37679000
36,HP,OMEN Transcend 16-U0045TX,Intel,i9,13900HX,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,16,QHD+,Mini-LED,240,1080,Yes,Yes,Yes,No,Performance,36799000
37,HP,OMEN Transcend 16-U0046TX,Intel,i9,13900HX,DDR5,64,SSD 4,1024,NVIDIA,RTX4070,16,QHD+,Mini-LED,240,1080,Yes,Yes,Yes,No,Performance,39799000
38,ASUS,ROG Zephyrus G14 GA402XI,Ryzen,r9,7940HS,DDR5,16,SSD 4,1024,NVIDIA,RTX4070,14,QHD,IPS,165,1080,Yes,Yes,Yes,No,Performance,36759000
39,ASUS,ROG Zephyrus G14 GA402XI,Ryzen,r9,7940HS,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,14,QHD,IPS,165,1080,Yes,Yes,Yes,No,Performance,37659000
40,ACER,Predator HELIOS 16 PH16-71,Intel,i9,13900HX,DDR5,16,SSD 4,1024,NVIDIA,RTX4070,16,QHD+,IPS,240,1080,Yes,Yes,Yes,No,Performance,35999000
41,ASUS,ROG Zephyrus M16 GU603ZM,Intel,i7,12700H,DDR5,16,SSD 4,1024,NVIDIA,RTX3060,16,QHD,IPS,165,720,Yes,Yes,Yes,No,Performance,35999000
42,ASUS,ROG Flow X13 GV302XI,Ryzen,r9,7940HS,DDR5,32,SSD 4,1024,NVIDIA,RTX4070,13.4,QHD+,IPS,165,1080,Yes,Yes,Yes,No,Performance,34769000
43,LENOVO,IdeaPad 1 14IGL7 N4020 ,Intel,Celeron,N4020,DDR4,8,SSD 3,256,No,No,14,HD,TN,60,720,No,No,Yes,No,Balance,4350000
44,HP,14s-dq3109TU,Intel,Celeron,N4500,DDR4,8,SSD ,256,No,No,14,HD,,60,720,No,No,Yes,No,Balance,4556000
45,ASUS,Avita Essential 14,Intel,Celeron,N4020,LPDDR 4,4,SSD SATA,128,No,No,14,FHD,IPS,60,1080,No,No,No,No,Balance,4599000
46,ASUS,Vivobook 14 A1400EA-FHD7522,Intel,Pentium,7505,DDR4,4,SSD 3,256,No,No,14,FHD,,60,,No,No,Yes,No,Balance,4624000
47,ASUS,Vivobook 14 A1400EA-FHD7523,Intel,Pentium,7505,DDR4,8,SSD 3,256,No,No,14,FHD,,60,,No,No,Yes,No,Balance,4820000
48,HP,14s-dq3109TU,Intel,Celeron,N4500,DDR 4,8,SSD,256,No,No,14,HD,,60,720,No,No,Yes,No,Balance,4659000
49,HP,14s-fq0562AU,AMD,Athlon,3050U,DDR 4,4,SSD,512,No,No,14,HD,,60,720,No,No,Yes,No,Balance,4693000
50,HP,14s-fq0562AU,AMD,Athlon,3050U,DDR 4,8,SSD,512,No,No,14,HD,,60,720,No,No,Yes,No,Balance,4989000
51,ASUS,VivoBook 14 M415DAO-FHD321,AMD,Ryzen,3250U,DDR 4,4,SSD 3,256,No,No,14,FHD,,60,,No,No,Yes,No,Balance,4830000
52,ASUS,VivoBook 14 M415DAO_FHD322,AMD,Ryzen,3250U,DDR 4,8,SSD 3,256,No,No,14,FHD,,60,,No,No,Yes,No,Balance,5026000
53,LENOVO,IdeaPad 1 14IGL7,Intel,Celeron,N4020,DDR 4,8,SSD,512,No,No,14,HD,,60,720,No,No,Yes,No,Balance,4899000
54,HP,14s-dq3111TU,Intel,Celeron,N4500,DDR 4,8,SSD,512,No,No,14,HD,,60,720,No,No,Yes,No,Balance,4899000
55,ADVAN,WorkPro i5-1035G7,Intel,i5,1035G7,DDR 4,8,SSD 4,256,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,4987000
56,ADVAN,WorkPro i5-1035G7,Intel,i5,1035G7,DDR 4,16,SSD 4,256,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,5379000
57,ADVAN,WorkPro i5-1035G7,Intel,i5,1035G7,DDR 4,8,SSD 4,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,5699000
58,ADVAN,WorkPro i5-1035G7,Intel,i5,1035G7,DDR 4,16,SSD 4,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,6099000
59,SAMSUNG,CHROMEBOOK 4,Intel,celeron,N4020,LPDDR 4,4,e.MMC,32,No,No,11.6,HD,,60,720,No,No,No,No,Chrome Book,4999000
60,ACER,ASPIRE 3 A314-35,Intel,Celeron,N5100,DDR 4,8,SSD,512,No,No,14,FHD,,60,480,No,No,Yes,No,Balance,5036000
61,ACER,Aspire Lite 14 AL14-31P,Intel,Intel,N100,DDR 5,8,SSD,512,No,No,14,FHD,IPS,60,1080,No,No,Yes,No,Balance,5099000
62,ASUS,Expertbook P1412CEA,Intel,i3,1115G4,DDR 4,4,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5134000
63,ASUS,Expertbook P1412CEA,Intel,i3,1115G4,DDR 4,8,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5330000
64,ASUS,Expertbook P1412CEA,Intel,i3,1115G4,DDR 4,12,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5649000
65,ASUS,Expertbook P1412CEA,Intel,i3,1115G4,DDR 4,20,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5949000
66,ACER,Aspire 3 Slim A314-36P,Intel,Intel,N100,LPDDR 5,8,SSD 4,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,5249000
67,ACER,Aspire 3 Slim A314-36P,Intel,Intel,N200,LPDDR 5,8,SSD 4,512,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5281000
68,LENOVO,IdeaPad 1 14AMN7,AMD,Athlon,7120U,LPDDR 5,8,SSD 4,256,No,No,14,HD,TN,60,720,No,No,Yes,No,Balance,5319000
69,INFINIX,INBOOK X2,Intel,i3,1115G4,DDR 4,8,SSD 3,256,No,No,14,FHD,IPS,60,720,No,No,Yes,No,Balance,5379000
70,LENOVO,V14 G2 ALC,AMD, Ryzen 3,5300U,DDR 4,4,SSD,256,No,No,14,HD,TN,60,720,No,No,Yes,No,Balance,5349000
71,LENOVO,V14 G2 ALC,AMD, Ryzen 3,5300U,DDR 4,8,SSD,256,No,No,14,HD,TN,60,720,No,No,Yes,No,Balance,5428000
72,MSI,Modern 14 C11M,Intel,i3,11154G4,DDR 4,8,SSD 3,256,No,No,14,FHD,IPS,60,720,No,No,Yes,No,Balance,5477000
73,MSI,Modern 14 C11M,Intel,i3,11154G4,DDR 4,8,SSD 3,512,No,No,14,FHD,IPS,60,720,No,No,Yes,No,Balance,5996000
74,HP,NFINIX INBOOK X2,Intel,i3,11154G4,DDR 4,8,SSD 3,256,No,No,14,FHD,IPS,60,720,No,No,Yes,No,Balance,5499000
75,ASUS,VivoBook 14 M415DA,AMD ,Athlon,3150U,DDR 4,4,SSD 3,512,No,No,14,FHD,IPS,60,720,No,No,Yes,No,Balance,5505000
76,LENOVO,IdeaPad SLIM 3,Intel,i3,11154G4,DDR 4,8,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5575000
77,LENOVO,IdeaPad SLIM 3,Intel,i3,11154G4,DDR 4,16,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,6249000
78,LENOVO,IdeaPad SLIM 3,Intel,i3,11154G4,DDR 4,24,SSD 3,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,6649000
79,LENOVO,IdeaPad SLIM 1 Ryzen,AMD , Ryzen 3,7320U,LPDDR 5,8,SSD 4,256,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5579000
80,ASUS,Vivobook 14 A1400EA,Intel,i3,11154G4,DDR 4,4,SSD 3,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,5673000
81,ASUS,Vivobook 14 A1400EA,Intel,i3,11154G4,DDR 4,8,SSD 3,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,6006000
82,ASUS,Vivobook 14 A1400EA,Intel,i3,11154G4,DDR 4,12,SSD 3,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,6065000
83,ASUS,Vivobook 14 A1400EA,Intel,i3,11154G4,DDR 4,16,SSD 3,512,No,No,14,FHD,,60,720,No,No,Yes,No,Balance,6398000
84,ASUS,Vivobook 14 A1400EA,Intel,i3,11154G4,DDR 4,4,SSD 3,512,No,No,14,FHD,IPS,60,720,No,No,Yes,No,Balance,8999000
85,LENOVO,V14 G3 IAP,Intel,i3,1215U,DDR 4,4,SSD 3,2556,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,5722000
86,LENOVO,V14 G3 IAP,Intel,i3,1215U,DDR 4,8,SSD 3,2556,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,6049000
87,LENOVO,V14 G3 IAP,Intel,i3,1215U,DDR 4,8,SSD 3,2556,No,No,14,FHD,TN,60,720,No,No,Yes,No,Balance,6049000